dia,Zacatecas,Yucatán,Veracruz,Tlaxcala,Tamaulipas,Tabasco,Sonora,Sinaloa,San Luis Potosí,Quintana Roo,Querétaro,Puebla,Oaxaca,Nuevo León,Nayarit,Morelos,Michoacán,México,Jalisco,Hidalgo,Guerrero,Guanajuato,Durango,Ciudad de México,Colima,Coahuila,Chihuahua,Chiapas,Campeche,Baja California Sur,Baja California,Aguascalientes
51,50,21157,364500,74,377776,218075,151346,0,0,0,20676,427029,310850,853,0,18211,436949,305829,48525,0,289885,426511,292393,0,0,0,854,633600,290579,0,0,0
52,74,31203,328457,112,478768,306939,216959,0,0,0,30155,428422,427833,1279,0,25066,585288,329029,72243,0,387529,452846,392251,0,0,0,1280,837288,339121,0,0,0
53,112,45641,295961,168,574090,420171,304667,0,0,0,43399,414732,568237,1916,0,33294,750474,335894,107156,0,495654,457385,503924,0,0,0,1920,1055515,372457,0,0,0
54,168,65966,266667,252,647967,554088,415749,0,0,0,61283,391822,720865,2870,0,42240,912220,329245,158072,0,600705,444885,613922,0,0,0,2879,1258004,386879,0,0,0
55,253,93715,240261,377,689523,696698,545999,0,50,0,84266,364369,865385,4295,0,50711,1044420,313658,231304,50,685610,421639,704592,0,0,0,4317,1411047,384151,0,0,0
56,379,129947,216462,563,697685,827911,683044,50,74,0,111781,335426,977916,6421,50,57309,1126202,293249,334498,74,737129,392893,761497,0,0,0,6469,1493064,369204,0,0,0
57,569,174316,195015,840,679488,925847,807035,74,112,0,141583,306774,1041768,9583,74,61053,1151854,270882,475593,112,752101,362154,780310,0,0,0,9691,1503947,347162,0,0,0
58,853,223926,175687,1250,644536,977027,897277,112,168,0,169661,279371,1055023,14265,112,61831,1130601,248295,660217,168,736921,331499,766973,0,0,0,14506,1460020,321860,0,0,0
59,1279,272780,158271,1851,600924,982061,942006,168,253,0,191364,253686,1028153,21154,168,60256,1078075,226448,886991,253,701847,302056,732026,0,0,0,21692,1381960,295717,0,0,0
60,1918,313035,142578,2725,554105,951943,943049,253,379,0,203509,229905,975675,31194,253,57181,1008530,205833,1141642,379,656067,274389,685220,0,0,0,32387,1286681,270115,0,0,0
61,2875,338284,128439,3973,507317,900149,911533,379,569,0,205815,208063,909903,45622,379,53326,931966,186667,1393916,568,605961,248734,633446,0,0,0,48244,1185390,245779,0,0,0
62,4307,346614,115700,5716,462329,837551,860323,569,853,0,200375,188104,839156,65926,569,49180,854464,169015,1603568,852,555393,225145,580914,0,0,0,71619,1084679,223053,0,0,0
63,6448,340669,104222,8067,420025,771300,799532,853,1280,0,190023,169933,768385,93633,853,45032,779409,152858,1736964,1278,506502,203576,529974,0,0,0,105779,988118,202063,0,0,0
64,9642,325133,93883,11084,380780,705582,735721,1280,1918,0,177137,153430,700297,129784,1279,41042,708532,138128,1783195,1915,460377,183929,481833,0,0,0,155064,897473,182812,0,0,50
65,14397,304336,84567,14686,344686,642656,672698,1920,2875,0,163320,138470,636250,174008,1917,37288,642608,124739,1755131,2866,417501,166080,437035,0,0,0,224834,813473,165241,0,0,74
66,21448,281336,76176,18574,311677,583632,612501,2878,4308,0,149520,124926,576823,223385,2871,33805,581873,112594,1676723,4288,378016,149896,395751,0,0,0,320872,736270,149254,0,0,112
67,31844,258002,68616,22219,281605,528962,556120,4314,6449,0,136255,112677,522158,271913,4298,30601,526266,101594,1570462,6404,341874,135241,357945,0,0,0,447774,665699,134743,0,0,168
68,47041,235376,61806,25016,254283,478732,503947,6463,9646,0,123783,101607,472162,311784,6428,27671,475569,91641,1452362,9543,308928,121985,323472,0,0,0,605844,601429,121594,0,0,252
69,68977,213994,55672,26560,229507,432827,456041,9677,14406,0,112215,91608,426612,336672,9598,25002,429482,82644,1332250,14176,278982,110004,292131,0,0,0,786882,543048,109693,0,0,378
70,100051,194097,50146,26825,207071,391026,412277,14475,21468,0,101577,82582,385225,344740,14298,22576,387673,74517,1215625,20958,251819,99181,263697,0,0,0,971222,490116,98931,0,0,566
71,142866,175762,45168,26091,186776,353061,372438,21622,31887,0,91848,74436,347693,338668,21227,20376,349802,67178,1105324,30767,227215,89410,237941,0,50,0,1130497,442191,89207,0,0,847
72,199521,158971,40684,24727,168433,318641,336262,32231,47137,0,82986,67087,313706,323120,31356,18385,315538,60554,1002633,44701,204956,80592,214635,0,74,0,1238453,398842,80425,0,0,1265
73,270235,143661,36645,23040,151863,287479,303469,47897,69185,0,74934,60458,282962,302389,45974,16583,284562,54577,907969,63983,184834,72636,193567,0,112,0,1283594,359664,72498,0,0,1886
74,351456,129741,33007,21237,136903,259294,273782,70852,100497,0,67632,54480,255173,279499,66677,14954,256578,49186,821264,89654,166655,65460,174532,0,168,0,1272429,324276,65345,0,0,2802
75,434491,117113,29730,19439,123401,233821,246934,104099,143798,0,61020,49091,230071,256295,95192,13483,231310,44324,742191,121981,150242,58989,157345,0,252,0,1221522,292328,58892,0,0,4143
76,506640,105674,26779,17712,111220,210813,222672,151436,201402,0,55040,44232,207407,233806,132907,12155,208503,39940,670296,159579,135428,53154,141832,0,379,0,1147739,263495,53072,0,0,6084
77,555980,95324,24120,16090,100232,190042,200758,217149,273853,0,49634,39853,186952,212559,179947,10956,187925,35988,605064,198691,122061,47893,127834,0,568,0,1063582,237482,47824,0,0,8841
